"","locus_tag","ftype","length_bp","gene","EC_number","COG","product"
"1134","LNFNCACK_01400","CDS",2073,"fadJ_3","","COG1024","Fatty acid oxidation complex subunit alpha"
"1135","LNFNCACK_01401","CDS",1212,"paaJ","2.3.1.174","COG0183","3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase"
"1136","LNFNCACK_01402","CDS",1233,"rnd","3.1.13.5","COG0349","Ribonuclease D"
"1138","LNFNCACK_01404","CDS",1044,"hemE","4.1.1.37","COG0407","Uroporphyrinogen decarboxylase"
"1140","LNFNCACK_01406","CDS",1416,"hemY","1.3.3.4","COG1232","Protoporphyrinogen oxidase"
"1143","LNFNCACK_01409","CDS",429,"msrB","1.8.4.12","COG0229","Peptide methionine sulfoxide reductase MsrB"
"1145","LNFNCACK_01411","CDS",894,"blaB","","","Beta-lactamase regulatory protein BlaB"
"1147","LNFNCACK_01413","CDS",1935,"mrdA_1","3.4.16.4","","Peptidoglycan D,D-transpeptidase MrdA"
"1148","LNFNCACK_01414","CDS",1083,"ligD_1","","COG1793","Multifunctional non-homologous end joining protein LigD"
"1149","LNFNCACK_01415","CDS",1023,"ligC","6.5.1.1","COG1793","DNA ligase C1"
"1153","LNFNCACK_01419","CDS",1743,"aidB","1.3.99.-","COG1960","Putative acyl-CoA dehydrogenase AidB"
"1162","LNFNCACK_01428","CDS",1392,"papA2","2.3.1.-","COG1020","Trehalose-2-sulfate acyltransferase papA2"
"1165","LNFNCACK_01431","CDS",1023,"menF_2","5.4.4.2","","Isochorismate synthase MenF"
"1166","LNFNCACK_01432","CDS",849,"ilvE_2","2.6.1.42","COG0115","Branched-chain-amino-acid aminotransferase"
"1169","LNFNCACK_01435","CDS",636,"tag","3.2.2.20","COG2818","DNA-3-methyladenine glycosylase 1"
"1171","LNFNCACK_01437","CDS",588,"ogt_2","2.1.1.63","COG0350","Methylated-DNA--protein-cysteine methyltransferase"
"1172","LNFNCACK_01438","CDS",501,"shbA","","","ECF RNA polymerase sigma factor ShbA"
"1173","LNFNCACK_01439","CDS",1137,"prmC_2","2.1.1.297","","Release factor glutamine methyltransferase"
"1175","LNFNCACK_01441","CDS",1119,"nifS","2.8.1.7","COG1104","Cysteine desulfurase NifS"
"1176","LNFNCACK_01442","CDS",840,"phzF","5.3.3.17","","Trans-2,3-dihydro-3-hydroxyanthranilate isomerase"
"1178","LNFNCACK_01444","CDS",1686,"ybiT","","COG0488","putative ABC transporter ATP-binding protein YbiT"
"1181","LNFNCACK_01447","CDS",1353,"dapE_3","3.5.1.18","","Succinyl-diaminopimelate desuccinylase"
"1183","LNFNCACK_01449","CDS",1290,"fadI_1","2.3.1.16","COG0183","3-ketoacyl-CoA thiolase FadI"
"1186","LNFNCACK_01452","CDS",1389,"bglA","3.2.1.21","","Beta-glucosidase A"
"1189","LNFNCACK_01455","CDS",1227,"nupX","","COG1972","Putative nucleoside permease NupX"
"1192","LNFNCACK_01458","CDS",2049,"thrS","6.1.1.3","COG0441","Threonine--tRNA ligase"
"1196","LNFNCACK_01462","CDS",639,"pgsA2_1","2.7.8.-","COG0558","Phosphatidylinositol phosphate synthase"
"1198","LNFNCACK_01464","CDS",1212,"pimA","2.4.1.345","COG0438","Phosphatidyl-myo-inositol mannosyltransferase"
"1201","LNFNCACK_01467","CDS",1335,"ptsJ","","COG1167","Vitamin B6 salvage pathway transcriptional repressor PtsJ"
"1202","LNFNCACK_01468","CDS",900,"pdxS","4.3.3.6","COG0214","Pyridoxal 5-phosphate synthase subunit PdxS
LNFNCACK_01469	CDS	603	pdxT	4.3.3.6	COG0311	Pyridoxal 5-phosphate synthase subunit PdxT"
"1204","LNFNCACK_01471","CDS",534,"ruvC","3.1.22.4","COG0817","Crossover junction endodeoxyribonuclease RuvC"
"1205","LNFNCACK_01472","CDS",597,"ruvA","3.6.4.12","COG0632","Holliday junction ATP-dependent DNA helicase RuvA"
"1206","LNFNCACK_01473","CDS",1125,"ruvB","3.6.4.12","COG2255","Holliday junction ATP-dependent DNA helicase RuvB"
"1207","LNFNCACK_01474","CDS",303,"yajC","","COG1862","Sec translocon accessory complex subunit YajC"
"1208","LNFNCACK_01475","CDS",1893,"secD","","COG0342","Protein translocase subunit SecD"
"1209","LNFNCACK_01476","CDS",1248,"secF","","COG0341","Protein translocase subunit SecF"
"1210","LNFNCACK_01477","CDS",537,"apt","2.4.2.7","COG0503","Adenine phosphoribosyltransferase"
"1211","LNFNCACK_01478","CDS",2289,"relA","","COG0317","Bifunctional (p)ppGpp synthase/hydrolase RelA"
"1214","LNFNCACK_01481","CDS",1377,"hisS","6.1.1.21","COG0124","Histidine--tRNA ligase"
"1218","LNFNCACK_01485","CDS",912,"xerD","","COG4974","Tyrosine recombinase XerD"
"1220","LNFNCACK_01487","CDS",966,"scpA","","","Segregation and condensation protein A"
"1221","LNFNCACK_01488","CDS",654,"scpB","","COG1386","Segregation and condensation protein B"
"1224","LNFNCACK_01491","CDS",699,"cmk_1","2.7.4.25","COG0283","Cytidylate kinase"
"1225","LNFNCACK_01492","CDS",1479,"der","","COG1160","GTPase Der"
"1226","LNFNCACK_01493","CDS",1614,"moaA","","","GTP 3,8-cyclase
LNFNCACK_01494	CDS	393				hypothetical protein
LNFNCACK_01495	CDS	786	lgt_1	2.5.1.145		Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
LNFNCACK_01496	tRNA	75				tRNA-Pro(ggg)
LNFNCACK_01497	CDS	771				IS481 family transposase IS3514
LNFNCACK_01498	CDS	336			COG0640	HTH-type transcriptional regulator
LNFNCACK_01499	CDS	435				hypothetical protein
LNFNCACK_01500	CDS	360				hypothetical protein
LNFNCACK_01501	CDS	348				hypothetical protein
LNFNCACK_01502	CDS	669				hypothetical protein
LNFNCACK_01503	CDS	189				hypothetical protein
LNFNCACK_01504	CDS	345				hypothetical protein
LNFNCACK_01505	CDS	780	ppgK_1	2.7.1.63	COG1940	Polyphosphate glucokinase
LNFNCACK_01506	CDS	627	eda		COG0800	KHG/KDPG aldolase
LNFNCACK_01507	CDS	1815	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
LNFNCACK_01508	CDS	1458	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
LNFNCACK_01509	CDS	1182	mlc		COG1940	Protein mlc
LNFNCACK_01510	CDS	1695	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase
LNFNCACK_01511	CDS	1014	cytR_1		COG1609	HTH-type transcriptional repressor CytR
LNFNCACK_01512	CDS	357				hypothetical protein
LNFNCACK_01513	CDS	531	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
LNFNCACK_01514	CDS	630	clpP1_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit 1
LNFNCACK_01515	CDS	1401				hypothetical protein
LNFNCACK_01516	CDS	2022			COG4867	putative protein
LNFNCACK_01517	CDS	789		4.2.1.-	COG4336	Putative hydro-lyase
LNFNCACK_01518	CDS	900	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
LNFNCACK_01519	CDS	615	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
LNFNCACK_01520	CDS	768	pxpA	3.5.2.9		5-oxoprolinase subunit A
LNFNCACK_01521	CDS	1260				hypothetical protein
LNFNCACK_01522	CDS	681				hypothetical protein
LNFNCACK_01523	CDS	1281	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
LNFNCACK_01524	CDS	960	proP			Proline/betaine transporter
LNFNCACK_01525	CDS	258				hypothetical protein
LNFNCACK_01526	CDS	555	yhbO	3.1.2.-	COG0693	Protein/nucleic acid deglycase 2
LNFNCACK_01527	CDS	270				hypothetical protein
LNFNCACK_01528	CDS	390	ectC	4.2.1.108		L-ectoine synthase
LNFNCACK_01529	CDS	1281	ectB	2.6.1.76		Diaminobutyrate--2-oxoglutarate transaminase
LNFNCACK_01530	CDS	516	ectA	2.3.1.178		L-2,4-diaminobutyric acid acetyltransferase
LNFNCACK_01531	CDS	1128		4.4.1.13	COG1168	Putative cystathionine beta-lyase
LNFNCACK_01532	CDS	606	pgsA2_2	2.7.8.41	COG0558	Putative cardiolipin synthase
LNFNCACK_01533	CDS	1002				hypothetical protein
LNFNCACK_01534	CDS	333				hypothetical protein
LNFNCACK_01535	CDS	786				hypothetical protein
LNFNCACK_01536	CDS	390	gcvH		COG0509	Glycine cleavage system H protein
LNFNCACK_01537	CDS	450				hypothetical protein
LNFNCACK_01538	CDS	705			COG0789	putative HTH-type transcriptional regulator
LNFNCACK_01539	CDS	483			COG1259	putative protein
LNFNCACK_01540	CDS	576			COG0789	putative HTH-type transcriptional regulator
LNFNCACK_01541	CDS	2928	gcvP	1.4.4.2	COG0403	putative glycine dehydrogenase (decarboxylating)
LNFNCACK_01542	CDS	3267				hypothetical protein
LNFNCACK_01543	CDS	1182	sbcD			Nuclease SbcCD subunit D
LNFNCACK_01544	CDS	1482	gshA	6.3.2.2		Glutamate--cysteine ligase
LNFNCACK_01545	CDS	612	gpm2	3.1.3.2	COG0406	Acid phosphatase
LNFNCACK_01546	CDS	456				hypothetical protein
LNFNCACK_01547	CDS	1047	czcO_2	1.-.-.-	COG2072	putative oxidoreductase CzcO
LNFNCACK_01548	CDS	555				hypothetical protein
LNFNCACK_01549	CDS	621	yciO		COG0009	putative protein YciO
LNFNCACK_01550	CDS	1191	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
LNFNCACK_01551	CDS	1041	tdh	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
LNFNCACK_01552	CDS	321				hypothetical protein
LNFNCACK_01553	CDS	357				hypothetical protein
LNFNCACK_01554	CDS	1128	rlmC	2.1.1.189	COG2265	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC
LNFNCACK_01555	CDS	1296				hypothetical protein
LNFNCACK_01556	CDS	1629	fadD3	6.2.1.41	COG0318	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase
LNFNCACK_01557	CDS	504				hypothetical protein
LNFNCACK_01558	CDS	1203	yfmO			Multidrug efflux protein YfmO
LNFNCACK_01559	CDS	450				hypothetical protein
LNFNCACK_01560	CDS	2016	betT		COG1292	High-affinity choline transport protein
LNFNCACK_01561	CDS	1761	betA	1.1.99.1		Oxygen-dependent choline dehydrogenase
LNFNCACK_01562	CDS	1509	gbsA	1.2.1.8	COG1012	Betaine aldehyde dehydrogenase
LNFNCACK_01563	CDS	588				hypothetical protein
LNFNCACK_01564	CDS	645				hypothetical protein
LNFNCACK_01565	CDS	738	cypM	2.1.1.301		Cypemycin N-terminal methyltransferase
LNFNCACK_01566	CDS	2364	uvrA_1			UvrABC system protein A
LNFNCACK_01567	CDS	564				hypothetical protein
LNFNCACK_01568	CDS	873	hcaB_3	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
LNFNCACK_01569	CDS	1143				hypothetical protein
LNFNCACK_01570	CDS	1137	virS			HTH-type transcriptional regulator VirS
LNFNCACK_01571	CDS	1014			COG0861	putative membrane protein
LNFNCACK_01572	CDS	1410				hypothetical protein
LNFNCACK_01573	CDS	333				hypothetical protein
LNFNCACK_01574	CDS	234			COG5450	Antitoxin VapB11
LNFNCACK_01575	CDS	399		3.1.-.-	COG1487	Ribonuclease VapC11
LNFNCACK_01576	CDS	894	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
LNFNCACK_01577	CDS	912	catM			HTH-type transcriptional regulator CatM
LNFNCACK_01578	CDS	921	dapA_2	4.3.3.7		4-hydroxy-tetrahydrodipicolinate synthase
LNFNCACK_01579	CDS	525				hypothetical protein
LNFNCACK_01580	CDS	237				hypothetical protein
LNFNCACK_01581	CDS	768				hypothetical protein
LNFNCACK_01582	CDS	468				hypothetical protein
LNFNCACK_01583	CDS	1086				hypothetical protein
LNFNCACK_01584	CDS	390				hypothetical protein
LNFNCACK_01585	CDS	483				hypothetical protein
LNFNCACK_01586	CDS	489	lrpC		COG1522	HTH-type transcriptional regulator LrpC
LNFNCACK_01587	CDS	768				hypothetical protein
LNFNCACK_01588	CDS	909				hypothetical protein
LNFNCACK_01589	CDS	447	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
LNFNCACK_01590	CDS	1377	potE			Putrescine transporter PotE
LNFNCACK_01591	CDS	480				hypothetical protein
LNFNCACK_01592	CDS	582				hypothetical protein
LNFNCACK_01593	CDS	834				hypothetical protein
LNFNCACK_01594	CDS	1371				hypothetical protein
LNFNCACK_01595	CDS	1359				hypothetical protein
LNFNCACK_01596	CDS	357	rbpA_1			RNA polymerase-binding protein RbpA
LNFNCACK_01597	CDS	456				hypothetical protein
LNFNCACK_01598	CDS	789		2.4.1.54		Undecaprenyl-phosphate mannosyltransferase
LNFNCACK_01599	CDS	1581	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
LNFNCACK_01600	CDS	423	lrp		COG1522	Leucine-responsive regulatory protein
LNFNCACK_01601	CDS	933		3.1.11.-	COG0258	5-3 exonuclease
LNFNCACK_01602	CDS	2802	helY	3.6.4.-	COG4581	putative helicase HelY
LNFNCACK_01603	CDS	906	dagK_2	2.7.1.107	COG1597	Diacylglycerol kinase
LNFNCACK_01604	CDS	858	tatC		COG0805	Sec-independent protein translocase protein TatC
LNFNCACK_01605	CDS	270	tatA			Sec-independent protein translocase protein TatA
LNFNCACK_01606	CDS	963	pafC		COG2378	Protein PafC
LNFNCACK_01607	CDS	990	pafB		COG2378	Protein PafB
LNFNCACK_01608	CDS	1098				hypothetical protein
LNFNCACK_01609	CDS	387	fkbP	5.2.1.8		FK506-binding protein
LNFNCACK_01610	CDS	1035				hypothetical protein
LNFNCACK_01611	CDS	1389	pafA	6.3.1.19		Pup--protein ligase
LNFNCACK_01612	CDS	684	prcA	3.4.25.1	COG0638	Proteasome subunit alpha
LNFNCACK_01613	CDS	831	prcB	3.4.25.1	COG0638	Proteasome subunit beta
LNFNCACK_01614	CDS	198	pup			Prokaryotic ubiquitin-like protein Pup
LNFNCACK_01615	CDS	1497	dop	3.4.-.-		Depupylase
LNFNCACK_01616	CDS	546	speG	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
LNFNCACK_01617	CDS	954	aes_2	3.1.1.-		Acetyl esterase
LNFNCACK_01618	CDS	1005	aes_3	3.1.1.-		Acetyl esterase
LNFNCACK_01619	CDS	609				hypothetical protein
LNFNCACK_01620	CDS	354				hypothetical protein
LNFNCACK_01621	CDS	366				hypothetical protein
LNFNCACK_01622	CDS	1659	mpa		COG0464	Proteasome-associated ATPase
LNFNCACK_01623	CDS	1017	trmI	2.1.1.220	COG2519	tRNA (adenine(58)-N(1))-methyltransferase TrmI
LNFNCACK_01624	CDS	1107	rip3		COG0517	Putative zinc metalloprotease Rip3
LNFNCACK_01625	CDS	3723	metH	2.1.1.13	COG0646	Methionine synthase
LNFNCACK_01626	CDS	837				hypothetical protein
LNFNCACK_01627	CDS	690	gph_1	3.1.3.18		Phosphoglycolate phosphatase
LNFNCACK_01628	CDS	858				hypothetical protein
LNFNCACK_01629	CDS	1242	mshC	6.3.1.13	COG0215	L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase
LNFNCACK_01630	CDS	789				hypothetical protein
LNFNCACK_01631	CDS	528				hypothetical protein
LNFNCACK_01632	CDS	717	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
LNFNCACK_01633	CDS	1005	corA		COG0598	Cobalt/magnesium transport protein CorA
LNFNCACK_01634	CDS	333				hypothetical protein
LNFNCACK_01635	CDS	210				hypothetical protein
LNFNCACK_01636	CDS	1350	dapE_4	3.5.1.18		putative succinyl-diaminopimelate desuccinylase
LNFNCACK_01637	CDS	717				hypothetical protein
LNFNCACK_01638	CDS	783				hypothetical protein
LNFNCACK_01639	CDS	246				hypothetical protein
LNFNCACK_01640	tRNA	87				tRNA-Leu(gag)
LNFNCACK_01641	CDS	414				hypothetical protein
LNFNCACK_01642	CDS	768				hypothetical protein
LNFNCACK_01643	CDS	381				hypothetical protein
LNFNCACK_01644	CDS	546				hypothetical protein
LNFNCACK_01645	CDS	810	rlmB_1	2.1.1.185		23S rRNA (guanosine-2-O-)-methyltransferase RlmB"
"1323","LNFNCACK_01742","CDS",1089,"mshA_8","2.4.1.250","","D-inositol-3-phosphate glycosyltransferase"
"1351","LNFNCACK_01770","CDS",549,"cmk_2","2.7.4.25","","Cytidylate kinase"
"1380","LNFNCACK_01806","CDS",699,"degU_3","","COG2197","Transcriptional regulatory protein DegU"
"1399","LNFNCACK_01825","CDS",1062,"mshA_9","2.4.1.250","","D-inositol-3-phosphate glycosyltransferase"
"1421","LNFNCACK_01871","CDS",630,"COQ3_1","2.1.1.222","","Ubiquinone biosynthesis O-methyltransferase, mitochondrial"
"1494","LNFNCACK_01944","CDS",1404,"thiL_2","2.7.4.16","","Thiamine-monophosphate kinase"
"1498","LNFNCACK_01948","CDS",1254,"czcO_3","1.-.-.-","COG2072","putative oxidoreductase CzcO"
"1588","LNFNCACK_02038","CDS",927,"lnrL","3.6.3.-","COG1131","Linearmycin resistance ATP-binding protein LnrL"
"1595","LNFNCACK_02045","CDS",345,"lpp","","","Major outer membrane lipoprotein Lpp"
"1599","LNFNCACK_02049","CDS",495,"pncC","3.5.1.42","COG1546","Nicotinamide-nucleotide amidohydrolase PncC"
"1627","LNFNCACK_02077","CDS",1968,"mrdA_2","3.4.16.4","COG0768","Peptidoglycan D,D-transpeptidase MrdA"
"1637","LNFNCACK_02087","CDS",1029,"yfiY","","COG0614","putative siderophore-binding lipoprotein YfiY"
"1655","LNFNCACK_02105","CDS",675,"clpP2","3.4.21.92","COG0740","ATP-dependent Clp protease proteolytic subunit 2"
"1696","LNFNCACK_02162","CDS",564,"orn","3.1.-.-","COG1949","Oligoribonuclease"
"1697","LNFNCACK_02163","CDS",957,"panS_2","","COG0385","Pantothenate precursors transporter PanS"
"1703","LNFNCACK_02169","CDS",471,"bcp","1.11.1.15","COG1225","Putative peroxiredoxin"
"1704","LNFNCACK_02170","CDS",687,"larMN","","COG0310","putative fused nickel transport protein LarMN"
"1706","LNFNCACK_02172","CDS",762,"ecfT","","COG0619","Energy-coupling factor transporter transmembrane protein EcfT"
"1707","LNFNCACK_02173","CDS",759,"cbiO_2","3.6.3.-","COG1122","Cobalt import ATP-binding protein CbiO"
"1709","LNFNCACK_02175","CDS",642,"rdgB","3.6.1.66","COG0127","dITP/XTP pyrophosphatase"
"1710","LNFNCACK_02176","CDS",759,"rph","2.7.7.56","COG0689","Ribonuclease PH"
"1713","LNFNCACK_02179","CDS",432,"fitB","3.1.-.-","","Toxin FitB"
"1715","LNFNCACK_02181","CDS",1035,"mccF","","","Microcin C7 self-immunity protein MccF"
"1718","LNFNCACK_02184","CDS",813,"murI","5.1.1.3","COG0796","Glutamate racemase"
"1720","LNFNCACK_02186","CDS",291,"clpS","","COG2127","ATP-dependent Clp protease adapter protein ClpS"
"1721","LNFNCACK_02187","CDS",1314,"pncB1","6.3.4.21","COG1488","Nicotinate phosphoribosyltransferase pncB1"
"1723","LNFNCACK_02189","CDS",1356,"narK","","COG2223","Nitrate/nitrite transporter NarK"
"1724","LNFNCACK_02190","CDS",2211,"nasC","1.7.-.-","COG0243","Assimilatory nitrate reductase catalytic subunit"
"1725","LNFNCACK_02191","CDS",1539,"nasB","","COG1251","Assimilatory nitrate reductase electron transfer subunit"
"1726","LNFNCACK_02192","CDS",2592,"nasD","1.7.1.4","COG1251","Nitrite reductase [NAD(P)H]"
"1732","LNFNCACK_02198","CDS",621,"pncA","3.5.1.19","COG1335","Nicotinamidase/pyrazinamidase"
"1737","LNFNCACK_02203","CDS",1221,"hpd","1.13.11.27","COG3185","4-hydroxyphenylpyruvate dioxygenase"
"1744","LNFNCACK_02210","CDS",1920,"deaD_2","3.6.4.13","","ATP-dependent RNA helicase DeaD"
"1746","LNFNCACK_02212","CDS",375,"trxC","","COG0526","Putative thioredoxin 2"
"1748","LNFNCACK_02214","tmRNA",367,"ssrA","","","transfer-messenger RNA, SsrA"
"1749","LNFNCACK_02215","CDS",483,"smpB","","COG0691","SsrA-binding protein"
"1751","LNFNCACK_02217","CDS",906,"ftsX","","COG2177","Cell division protein FtsX"
"1752","LNFNCACK_02218","CDS",849,"ftsE","","COG2884","Cell division ATP-binding protein FtsE"
"1767","LNFNCACK_02233","CDS",1113,"prfB","","COG1186","Peptide chain release factor 2"
"1770","LNFNCACK_02236","CDS",366,"essD","","COG5444","Type VII secretion system protein EssD"
"1798","LNFNCACK_02264","CDS",627,"bioY_1","","COG1268","Biotin transporter BioY"
"1799","LNFNCACK_02265","CDS",978,"yhfT","6.2.1.-","COG0318","putative acyl--CoA ligase YhfT"
"1800","LNFNCACK_02266","CDS",1152,"thlA","2.3.1.9","COG0183","Acetyl-CoA acetyltransferase"
"1801","LNFNCACK_02267","CDS",690,"bioM_1","3.6.3.-","COG1122","Biotin transport ATP-binding protein BioM"
"1802","LNFNCACK_02268","CDS",597,"bioN_1","","COG0619","Energy-coupling factor transporter transmembrane protein BioN"
"1804","LNFNCACK_02270","CDS",1704,"QRSL1","6.3.5.7","","Glutamyl-tRNA(Gln) amidotransferase subunit A, chloroplastic/mitochondrial"
"1806","LNFNCACK_02272","CDS",249,"whiB1","","","Transcriptional regulator WhiB1"
"1807","LNFNCACK_02273","CDS",1461,"pdtaS","2.7.13.3","COG3920","putative sensor histidine kinase pdtaS"
"1808","LNFNCACK_02274","CDS",4785,"gdh_2","1.4.1.2","COG2902","NAD-specific glutamate dehydrogenase"
"1820","LNFNCACK_02286","CDS",2790,"secA","","","Protein translocase subunit SecA"
"1823","LNFNCACK_02289","CDS",681,"hpf","","COG1544","Ribosome hibernation promotion factor"
"1825","LNFNCACK_02291","CDS",1779,"lpqB","","","Lipoprotein LpqB"
