locus_tag,ftype,length_bp,gene,EC_number,COG,product
GMHGOCAD_00228,CDS,945,hdfR_1,,,HTH-type transcriptional regulator HdfR
GMHGOCAD_00229,CDS,2373,fyuA,,COG1629,Pesticin receptor
GMHGOCAD_00236,CDS,1206,yycB_1,,COG2807,putative transporter YycB
GMHGOCAD_00237,CDS,462,guaD_1,3.5.4.3,COG0590,Guanine deaminase
GMHGOCAD_00239,CDS,909,hdfR_2,,,HTH-type transcriptional regulator HdfR
GMHGOCAD_00242,CDS,726,tolQ_1,,COG0811,Tol-Pal system protein TolQ
GMHGOCAD_00243,CDS,402,exbD_1,,COG0848,Biopolymer transport protein ExbD
GMHGOCAD_00245,CDS,921,sfnR_1,,COG1221,Sigma54-dependent transcriptional activator SfnR
GMHGOCAD_00246,CDS,783,metQ_2,,COG1464,Methionine-binding lipoprotein MetQ
GMHGOCAD_00248,CDS,666,glnP_1,,COG0765,Glutamine transport system permease protein GlnP
GMHGOCAD_00249,CDS,660,glnP_2,,COG0765,Glutamine transport system permease protein GlnP
GMHGOCAD_00250,CDS,783,artM,,COG1126,Arginine transport ATP-binding protein ArtM
GMHGOCAD_00251,CDS,885,glnH_1,,COG0834,ABC transporter glutamine-binding protein GlnH
GMHGOCAD_00253,CDS,1095,mdtA_1,,,Multidrug resistance protein MdtA
GMHGOCAD_00254,CDS,1071,mdtA_2,,,Multidrug resistance protein MdtA
GMHGOCAD_00255,CDS,3066,czcA_1,,,Cobalt-zinc-cadmium resistance protein CzcA
GMHGOCAD_00257,CDS,627,tam,2.1.1.144,,Trans-aconitate 2-methyltransferase
GMHGOCAD_00259,CDS,645,metI_1,,COG2011,D-methionine transport system permease protein MetI
GMHGOCAD_00260,CDS,1125,metN_2,3.6.3.-,COG1135,Methionine import ATP-binding protein MetN
GMHGOCAD_00261,CDS,810,metQ_3,,COG1464,D-methionine-binding lipoprotein MetQ
GMHGOCAD_00262,CDS,1368,dmoA_1,1.14.13.131,,Dimethyl-sulfide monooxygenase
GMHGOCAD_00263,CDS,1200,soxC_1,,,Dibenzothiophene desulfurization enzyme C
GMHGOCAD_00264,CDS,1242,soxC_2,,,Dibenzothiophene desulfurization enzyme C
GMHGOCAD_00265,CDS,750,tcyC,3.6.3.-,COG1126,L-cystine import ATP-binding protein TcyC
GMHGOCAD_00266,CDS,666,yecS_1,,COG0765,L-cystine transport system permease protein YecS
GMHGOCAD_00267,CDS,798,fliY_1,,COG0834,L-cystine-binding protein FliY
GMHGOCAD_00268,CDS,996,dcyD_1,4.4.1.15,COG2515,D-cysteine desulfhydrase
GMHGOCAD_00270,CDS,2001,betT2,,COG1292,Osmo-dependent choline transporter BetT2
GMHGOCAD_00272,CDS,741,fabG_1,1.1.1.100,,3-oxoacyl-[acyl-carrier-protein] reductase FabG
GMHGOCAD_00273,CDS,891,dmlR_1,,,HTH-type transcriptional regulator DmlR
GMHGOCAD_00274,CDS,1038,gpr,1.1.1.-,COG0667,L-glyceraldehyde 3-phosphate reductase
GMHGOCAD_00275,CDS,1188,emrA_2,,,Colistin resistance protein EmrA
GMHGOCAD_00276,CDS,1596,emrB_1,,,Colistin resistance protein EmrB
GMHGOCAD_00277,CDS,1047,rhaS_1,,,HTH-type transcriptional activator RhaS
GMHGOCAD_00280,CDS,1455,lpdG_1,1.8.1.4,COG1249,Dihydrolipoyl dehydrogenase
GMHGOCAD_00281,CDS,927,tauD,1.14.11.17,COG2175,Alpha-ketoglutarate-dependent taurine dioxygenase
GMHGOCAD_00282,CDS,837,ssuC_1,,COG0600,Putative aliphatic sulfonates transport permease protein SsuC
GMHGOCAD_00283,CDS,792,tauB,7.6.2.7,COG4525,Taurine import ATP-binding protein TauB
GMHGOCAD_00284,CDS,978,tauA,,COG4521,Taurine-binding periplasmic protein
GMHGOCAD_00285,CDS,1584,gshA,6.3.2.2,COG2918,Glutamate--cysteine ligase
GMHGOCAD_00287,CDS,2325,yhgF,,COG2183,Protein YhgF
GMHGOCAD_00288,CDS,741,ompR_1,,,Transcriptional regulatory protein OmpR
GMHGOCAD_00289,CDS,1314,envZ,2.7.13.3,,Osmolarity sensor protein EnvZ
GMHGOCAD_00290,CDS,906,rimK,6.3.2.-,COG0189,Ribosomal protein S6--L-glutamate ligase
GMHGOCAD_00292,CDS,411,hslR,,COG1188,Heat shock protein 15
GMHGOCAD_00293,CDS,813,lpxT,2.7.4.29,COG0671,Lipid A 1-diphosphate synthase
GMHGOCAD_00294,CDS,903,hslO,,COG1281,33 kDa chaperonin
GMHGOCAD_00295,CDS,1542,pckA,4.1.1.49,COG1866,Phosphoenolpyruvate carboxykinase (ATP)
GMHGOCAD_00300,CDS,1935,dbpA_1,3.6.4.13,,ATP-dependent RNA helicase DbpA
GMHGOCAD_00301,CDS,1227,fadB_1,,,Fatty acid oxidation complex subunit alpha
GMHGOCAD_00305,CDS,2349,ydeP_1,,COG0243,Protein YdeP
GMHGOCAD_00306,CDS,888,cynR_1,,,HTH-type transcriptional regulator CynR
GMHGOCAD_00307,CDS,441,kbp,,COG1652,Potassium binding protein Kbp
GMHGOCAD_00308,CDS,669,yrfG,3.1.3.5,COG1011,GMP/IMP nucleotidase YrfG
GMHGOCAD_00309,CDS,567,nudE,3.6.1.-,COG0494,ADP compounds hydrolase NudE
GMHGOCAD_00312,CDS,1407,dctD_1,,,C4-dicarboxylate transport transcriptional regulatory protein DctD
GMHGOCAD_00313,CDS,1809,dctB_1,2.7.13.3,,C4-dicarboxylate transport sensor protein DctB
GMHGOCAD_00314,CDS,882,rfbD,1.1.1.133,COG1091,dTDP-4-dehydrorhamnose reductase
GMHGOCAD_00315,CDS,546,rmlC,5.1.3.13,COG1898,"dTDP-4-dehydrorhamnose 3,5-epimerase"
GMHGOCAD_00316,CDS,876,rffH,2.7.7.24,COG1209,Glucose-1-phosphate thymidylyltransferase 2
GMHGOCAD_00317,CDS,1083,rffG,4.2.1.46,COG1088,"dTDP-glucose 4,6-dehydratase 2"
GMHGOCAD_00318,CDS,2919,argD_1,2.6.1.17,,Acetylornithine/succinyldiaminopimelate aminotransferase
GMHGOCAD_00320,CDS,1107,aguA_1,3.5.3.12,COG2957,Agmatine deiminase
GMHGOCAD_00322,CDS,2091,cntO_1,,,Metal-pseudopaline receptor CntO
GMHGOCAD_00325,CDS,1290,oprD_1,3.4.21.-,,Porin D
GMHGOCAD_00334,CDS,984,virS_2,,,HTH-type transcriptional regulator VirS
GMHGOCAD_00336,CDS,792,bdhA_1,1.1.1.30,,D-beta-hydroxybutyrate dehydrogenase
GMHGOCAD_00338,CDS,1011,pld1,1.1.1.107,,Pyridoxal 4-dehydrogenase
GMHGOCAD_00340,CDS,1473,gbsA_1,1.2.1.8,COG1012,Betaine aldehyde dehydrogenase
GMHGOCAD_00341,CDS,1044,adh_1,1.1.1.1,,Alcohol dehydrogenase
GMHGOCAD_00345,CDS,957,gpuA,3.5.3.17,COG0010,Guanidinopropionase
GMHGOCAD_00346,CDS,1386,putP_1,,,Sodium/proline symporter
GMHGOCAD_00350,CDS,1551,hndC,1.12.1.3,COG1145,NADP-reducing hydrogenase subunit HndC
GMHGOCAD_00351,CDS,477,nuoE_1,7.1.1.-,COG1905,NADH-quinone oxidoreductase subunit E
GMHGOCAD_00353,CDS,837,potB,,COG1176,Spermidine/putrescine transport system permease protein PotB
GMHGOCAD_00355,CDS,1092,potA_1,7.6.2.11,COG3842,Spermidine/putrescine import ATP-binding protein PotA
GMHGOCAD_00356,CDS,918,gcvA_2,,,Glycine cleavage system transcriptional activator
GMHGOCAD_00357,CDS,1584,abgB,3.5.1.-,COG1473,p-aminobenzoyl-glutamate hydrolase subunit B
GMHGOCAD_00358,CDS,1632,aknOx,1.1.3.45,,Aclacinomycin-N/aclacinomycin-A oxidase
GMHGOCAD_00360,CDS,690,occM_1,,,Octopine transport system permease protein OccM
GMHGOCAD_00362,CDS,762,artJ_1,,COG0834,ABC transporter arginine-binding protein 1
GMHGOCAD_00363,CDS,774,occP_1,,,Octopine permease ATP-binding protein P
GMHGOCAD_00364,CDS,1392,gabP_1,,COG1113,GABA permease
GMHGOCAD_00369,CDS,321,pchB,4.2.99.21,COG1605,Isochorismate pyruvate lyase
GMHGOCAD_00376,CDS,1068,mutY,3.2.2.31,COG1194,Adenine DNA glycosylase
GMHGOCAD_00379,CDS,594,hisB,,COG0131,Histidine biosynthesis bifunctional protein HisB
GMHGOCAD_00382,CDS,738,hisA,5.3.1.16,COG0106,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
GMHGOCAD_00387,CDS,1287,envC,,COG4942,Murein hydrolase activator EnvC
GMHGOCAD_00388,CDS,1530,gpmI,5.4.2.12,COG0696,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
GMHGOCAD_00389,CDS,414,yibN,,COG0607,putative protein YibN
GMHGOCAD_00390,CDS,255,grxC,,COG0695,Glutaredoxin 3
GMHGOCAD_00391,CDS,483,secB,,COG1952,Protein-export protein SecB
GMHGOCAD_00392,CDS,456,trmL,2.1.1.207,COG0219,tRNA (cytidine(34)-2'-O)-methyltransferase
GMHGOCAD_00394,CDS,1437,glnG,,COG2204,DNA-binding transcriptional regulator NtrC
GMHGOCAD_00395,CDS,1086,glnL,2.7.13.3,COG3852,Sensory histidine kinase/phosphatase NtrB
GMHGOCAD_00396,CDS,1134,ada_1,,COG0350,Bifunctional transcriptional activator/DNA repair enzyme Ada
GMHGOCAD_00400,CDS,1455,thiI,2.8.1.4,COG0301,tRNA sulfurtransferase
GMHGOCAD_00403,CDS,2451,malP,2.4.1.1,COG0058,Maltodextrin phosphorylase
GMHGOCAD_00406,CDS,1011,fbp_1,3.1.3.11,COG0158,"Fructose-1,6-bisphosphatase class 1"
GMHGOCAD_00408,CDS,1893,pctC_1,,COG0840,Methyl-accepting chemotaxis protein PctC
GMHGOCAD_00410,CDS,570,blc,,COG3040,Outer membrane lipoprotein Blc
GMHGOCAD_00414,CDS,573,ves,,,Protein Ves
GMHGOCAD_00417,CDS,1533,hutH_1,4.3.1.3,COG2986,Histidine ammonia-lyase
GMHGOCAD_00418,CDS,1413,proY_1,,COG1113,Proline-specific permease ProY
GMHGOCAD_00419,CDS,1206,hutI_1,3.5.2.7,COG1228,Imidazolonepropionase
GMHGOCAD_00421,CDS,972,pip_1,3.4.11.5,,Proline iminopeptidase
GMHGOCAD_00422,CDS,438,dtd,3.1.1.96,COG1490,D-aminoacyl-tRNA deacylase
GMHGOCAD_00423,CDS,1851,mdoG,,,Glucans biosynthesis protein G
GMHGOCAD_00424,CDS,2571,opgH,2.4.1.-,COG2943,Glucans biosynthesis glucosyltransferase H
GMHGOCAD_00425,CDS,798,fliY_2,,COG0834,L-cystine-binding protein FliY
GMHGOCAD_00428,CDS,1917,mcpQ,,COG0840,Methyl-accepting chemotaxis protein McpQ
GMHGOCAD_00430,CDS,795,tatC,,COG0805,Sec-independent protein translocase protein TatC
GMHGOCAD_00432,CDS,282,tatA,,COG1826,Sec-independent protein translocase protein TatA
GMHGOCAD_00434,CDS,393,hisI_1,3.5.4.19,,Phosphoribosyl-AMP cyclohydrolase
GMHGOCAD_00436,CDS,624,ubiJ_1,,COG3165,Ubiquinone biosynthesis accessory factor UbiJ
GMHGOCAD_00437,CDS,771,ubiE,2.1.1.163,COG2226,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
GMHGOCAD_00442,CDS,1683,phaC_1,2.3.1.-,COG3243,Poly(3-hydroxyalkanoate) polymerase subunit PhaC
GMHGOCAD_00443,CDS,861,catD_1,3.1.1.24,COG0596,3-oxoadipate enol-lactonase 2
GMHGOCAD_00444,CDS,1680,phaC_2,2.3.1.-,COG3243,Poly(3-hydroxyalkanoate) polymerase subunit PhaC
GMHGOCAD_00446,CDS,1344,hslU,,COG1220,ATP-dependent protease ATPase subunit HslU
GMHGOCAD_00447,CDS,579,hslV,3.4.25.2,COG5405,ATP-dependent protease subunit HslV
GMHGOCAD_00448,CDS,708,ftsN,,,Cell division protein FtsN
GMHGOCAD_00450,CDS,2220,priA,3.6.4.-,COG1198,Primosomal protein N'
GMHGOCAD_00453,CDS,1269,maeB,1.1.1.40,COG0281,NADP-dependent malic enzyme
GMHGOCAD_00454,CDS,2436,mrcA,,COG5009,Penicillin-binding protein 1A
GMHGOCAD_00460,CDS,801,pilQ_1,,COG4796,Type IV pilus biogenesis and competence protein PilQ
GMHGOCAD_00461,CDS,498,pilQ_2,,COG4796,Type IV pilus biogenesis and competence protein PilQ
GMHGOCAD_00463,CDS,1101,aroB_1,4.2.3.4,COG0337,3-dehydroquinate synthase
GMHGOCAD_00464,CDS,1599,damX,,,Cell division protein DamX
GMHGOCAD_00466,CDS,1419,gltD_1,1.4.1.13,COG0493,Glutamate synthase [NADPH] small chain
GMHGOCAD_00468,CDS,348,ygiW,,COG3111,Protein YgiW
GMHGOCAD_00469,CDS,1269,ynfM_1,,,Inner membrane transport protein YnfM
GMHGOCAD_00470,CDS,900,benM_1,,,HTH-type transcriptional regulator BenM
GMHGOCAD_00473,CDS,1227,fabF_1,2.3.1.179,COG0304,3-oxoacyl-[acyl-carrier-protein] synthase 2
GMHGOCAD_00476,CDS,1197,fabF_2,2.3.1.179,,3-oxoacyl-[acyl-carrier-protein] synthase 2
GMHGOCAD_00478,CDS,762,COQ5,2.1.1.163,,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial"
GMHGOCAD_00479,CDS,1248,mhpA_1,1.14.13.127,,3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase
GMHGOCAD_00484,CDS,1545,hutH_2,4.3.1.3,COG2986,Histidine ammonia-lyase
GMHGOCAD_00487,CDS,1674,acs_1,6.2.1.1,,Acetyl-coenzyme A synthetase
GMHGOCAD_00489,CDS,255,acpP_1,,COG0236,Acyl carrier protein
GMHGOCAD_00490,CDS,273,acpP_2,,,Acyl carrier protein
GMHGOCAD_00493,CDS,771,soj_1,3.6.-.-,COG1192,Sporulation initiation inhibitor protein Soj
GMHGOCAD_00495,CDS,297,higB,3.1.-.-,COG4680,mRNA interferase HigB
GMHGOCAD_00496,CDS,402,higA,,COG5499,Antitoxin HigA
GMHGOCAD_00497,CDS,1464,selO,2.7.7.-,COG0397,Protein adenylyltransferase SelO
GMHGOCAD_00498,CDS,3327,mscK,,COG3264,Mechanosensitive channel MscK
GMHGOCAD_00499,CDS,1743,nhaP2_1,,COG3263,K(+)/H(+) antiporter NhaP2
GMHGOCAD_00505,CDS,3954,putA,,COG0506,Bifunctional protein PutA
GMHGOCAD_00506,CDS,1485,putP_2,,COG0591,Sodium/proline symporter
GMHGOCAD_00508,CDS,1272,oah1,2.5.1.-,COG2873,O-acetyl-L-homoserine sulfhydrylase 1
GMHGOCAD_00509,CDS,846,rlmJ,2.1.1.266,COG2961,Ribosomal RNA large subunit methyltransferase J
GMHGOCAD_00510,CDS,648,msrA_1,1.8.4.11,COG0225,Peptide methionine sulfoxide reductase MsrA
GMHGOCAD_00513,CDS,2646,aceE_1,1.2.4.1,COG2609,Pyruvate dehydrogenase E1 component
GMHGOCAD_00515,CDS,1035,rfaF,2.-.-.-,COG0859,ADP-heptose--LPS heptosyltransferase 2
GMHGOCAD_00516,CDS,1062,rfaC,2.-.-.-,COG0859,Lipopolysaccharide heptosyltransferase 1
GMHGOCAD_00517,CDS,1125,rfaG,2.4.-.-,,Lipopolysaccharide core biosynthesis protein RfaG
GMHGOCAD_00518,CDS,807,rfaP,2.7.1.-,,Lipopolysaccharide core heptose(I) kinase RfaP
GMHGOCAD_00521,CDS,1455,kdkA,2.7.1.166,,3-deoxy-D-manno-octulosonic acid kinase
GMHGOCAD_00522,CDS,1758,tobZ,6.1.2.2,,nebramycin 5' synthase
GMHGOCAD_00523,CDS,1131,bshA,2.4.1.-,COG0438,N-acetyl-alpha-D-glucosaminyl L-malate synthase
GMHGOCAD_00527,CDS,1152,mshA_1,2.4.1.250,,D-inositol-3-phosphate glycosyltransferase
GMHGOCAD_00532,CDS,609,cysC,2.7.1.25,COG0529,Adenylyl-sulfate kinase
GMHGOCAD_00533,CDS,1434,hldE,,COG2870,Bifunctional protein HldE
GMHGOCAD_00539,CDS,891,yhaJ_1,,,HTH-type transcriptional regulator YhaJ
GMHGOCAD_00540,CDS,1281,waaA,2.4.99.12,COG1519,3-deoxy-D-manno-octulosonic acid transferase
GMHGOCAD_00541,CDS,1443,tolC_1,,COG1538,Outer membrane protein TolC
GMHGOCAD_00545,CDS,618,nudF,3.6.1.13,,ADP-ribose pyrophosphatase
GMHGOCAD_00547,CDS,816,cpdA_1,3.1.4.53,COG1409,"3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA"
GMHGOCAD_00549,CDS,1905,parE,5.6.2.2,COG0187,DNA topoisomerase 4 subunit B
GMHGOCAD_00552,CDS,2259,parC,5.6.2.2,COG0188,DNA topoisomerase 4 subunit A
GMHGOCAD_00555,CDS,1215,serB2,3.1.3.3,COG0560,Phosphoserine phosphatase SerB2
GMHGOCAD_00556,CDS,861,psd,4.1.1.65,COG0688,Phosphatidylserine decarboxylase proenzyme
GMHGOCAD_00557,CDS,816,rhdA,2.8.1.1,COG2897,Thiosulfate sulfurtransferase
GMHGOCAD_00559,CDS,852,motA,,COG1291,Motility protein A
GMHGOCAD_00561,CDS,1032,rsgA,3.6.1.-,COG1162,Small ribosomal subunit biogenesis GTPase RsgA
GMHGOCAD_00564,CDS,1080,queG,1.17.99.6,COG1600,Epoxyqueuosine reductase
GMHGOCAD_00565,CDS,861,nnr,,COG0062,Bifunctional NAD(P)H-hydrate repair enzyme Nnr
GMHGOCAD_00566,CDS,471,tsaE,,COG0802,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
GMHGOCAD_00567,CDS,1428,amiC_1,3.5.1.28,COG0860,N-acetylmuramoyl-L-alanine amidase AmiC
GMHGOCAD_00568,CDS,1914,mutL,,,DNA mismatch repair protein MutL
GMHGOCAD_00570,CDS,261,hfq,,COG1923,RNA-binding protein Hfq
GMHGOCAD_00572,CDS,1179,hflK,,COG0330,Modulator of FtsH protease HflK
GMHGOCAD_00573,CDS,870,hflC_1,,COG0330,Modulator of FtsH protease HflC
GMHGOCAD_00574,CDS,1188,hisZ_1,,COG3705,ATP phosphoribosyltransferase regulatory subunit
GMHGOCAD_00575,CDS,1293,purA,6.3.4.4,COG0104,Adenylosuccinate synthetase
